
# Surface 0 of 1 surfaces

# Curve title: "g(x,y)"

# Contour 0, label:      380
-10 -10  380 


-9.80004 -6.9697  280 
-9.98204 -6.76768  280 
-10 -6.74759  280 


# Contour 11, label:      270
-6.37898 -10  270 
-6.56566 -9.83444  270 
-6.60646 -9.79798  270 
-6.76768 -9.65296  270 
-6.83057 -9.59596  270 
-6.9697 -9.46903  270 
-7.0514 -9.39394  270 
-7.17172 -9.28261  270 
-7.26901 -9.19192  270 
-7.37374 -9.09364  270 
-7.48348 -8.9899  270 
-7.57576 -8.90206  270 
-7.69486 -8.78788  270 
-7.77778 -8.70783  270 
-7.90323 -8.58586  270 
-7.9798 -8.51089  270 
-8.10865 -8.38384  270 
-8.18182 -8.31119  270 
-8.31119 -8.18182  270 
-8.38384 -8.10865  270 
-8.51089 -7.9798  270 
-8.58586 -7.90323  270 
-8.70783 -7.77778  270 
-8.78788 -7.69486  270 
-8.90206 -7.57576  270 
-8.9899 -7.48348  270 
-9.09364 -7.37374  270 
-9.19192 -7.26901  270 
-9.28261 -7.17172  270 
-9.39394 -7.0514  270 
-9.46903 -6.9697  270 
-9.59596 -6.83057  270 
-9.65296 -6.76768  270 
-9.79798 -6.60646  270 
-9.83444 -6.56566  270 
-10 -6.37898  270 


# Contour 12, label:      260
-5.99975 -10  260 
-6.16162 -9.85887  260 
-6.23092 -9.79798  260 
-6.36364 -9.68058  260 
-6.45857 -9.59596  260 
-6.56566 -9.49985  260 
-6.68278 -9.39394  260 
-6.76768 -9.31664  260 
-6.90362 -9.19192  260 
-6.9697 -9.13088  260 
-7.12117 -8.9899  260 
-7.17172 -8.94253  260 
-7.33551 -8.78788  260 
-7.37374 -8.75154  260 
-7.54671 -8.58586  260 
-7.57576 -8.55784  260 
-7.75482 -8.38384  260 
-7.77778 -8.36138  260 
-7.95993 -8.18182  260 
-7.9798 -8.16209  260 
-8.16209 -7.9798  260 
-8.18182 -7.95993  260 
-8.36138 -7.77778  260 
-8.38384 -7.75482  260 
-8.55784 -7.57576  260 
-8.58586 -7.54671  260 
-8.75154 -7.37374  260 
-8.78788 -7.33551  260 
-8.94253 -7.17172  260 
-8.9899 -7.12117  260 
-9.13088 -6.9697  260 
-9.19192 -6.90362  260 
-9.31664 -6.76768  260 
-9.39394 -6.68278  260 
-9.49985 -6.56566  260 
-9.59596 -6.45857  260 
-9.68058 -6.36364  260 
-9.79798 -6.23092  260 
-9.85887 -6.16162  260 
-10 -5.99975  260 


# Contour 13, label:      250
-5.6092 -10  250 
-5.75758 -9.87293  250 
-5.84439 -9.79798  250 
-5.9596 -9.69784  250 
-6.07588 -9.59596  250 
-6.16162 -9.52032  250 
-6.30376 -9.39394  250 
-6.36364 -9.34033  250 
-6.52812 -9.19192  250 
-6.56566 -9.15781  250 
-6.74903 -8.9899  250 
-6.76768 -8.97271  250 
-6.96658 -8.78788  250 
-6.9697 -8.78496  250 
-7.17172 -8.5944  250 
-7.18071 -8.58586  250 
-7.37374 -8.40108  250 
-7.39162 -8.38384  250 
-7.57576 -8.20499  250 
-7.59944 -8.18182  250 
-7.77778 -8.00605  250 
-7.80423 -7.9798  250 
-7.9798 -7.80423  250 
-8.00605 -7.77778  250 
-8.18182 -7.59944  250 
-8.20499 -7.57576  250 
-8.38384 -7.39162  250 
-8.40108 -7.37374  250 
-8.58586 -7.18071  250 
-8.5944 -7.17172  250 
-8.78496 -6.9697  250 
-8.78788 -6.96658  250 
-8.97271 -6.76768  250 
-8.9899 -6.74903  250 
-9.15781 -6.56566  250 
-9.19192 -6.52812  250 
-9.34033 -6.36364  250 
-9.39394 -6.30376  250 
-9.52032 -6.16162  250 
-9.59596 -6.07588  250 
-9.69784 -5.9596  250 
-9.79798 -5.84439  250 
-9.87293 -5.75758  250 
-10 -5.6092  250 


# Contour 14, label:      240
